City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Bethel,US,76.05,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
17,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
18,Bengkulu,ID,84.4,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,De-Kastri,RU,84.49,broken clouds,51.4667,140.7833,Somon Hotel
32,Nizhneudinsk,RU,79.39,overcast clouds,54.9076,99.0276,"Gostinitsa, Kafe, Avtomoyka, Avtoservis, Evakuator Magistral'"
35,Rancho Palos Verdes,US,76.1,clear sky,33.7445,-118.387,Terranea Resort
38,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
40,Front Royal,US,78.19,clear sky,38.9182,-78.1944,Hampton Inn Front Royal
42,Atar,MR,79.0,scattered clouds,20.5169,-13.0499,Oumou Elghoura
44,Kloulklubed,PW,82.09,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
46,Akyab,MM,84.74,overcast clouds,20.15,92.9,Hotel Memory
52,Faanui,PF,79.75,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Aktau,KZ,86.58,clear sky,43.65,51.2,Silk Way Hotel
63,Nyurba,RU,84.42,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
69,Neyshabur,IR,81.91,broken clouds,36.2133,58.7958,Amiran Hotel
71,Kavaratti,IN,82.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
72,San Patricio,US,84.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
73,Orlik,RU,78.96,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
74,Namatanai,PG,83.57,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
76,Nishihara,JP,89.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
82,Souillac,MU,75.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Nikolskoye,RU,75.09,clear sky,59.7035,30.7861,Tourist House - Sablino
86,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Nizwa,OM,85.19,overcast clouds,22.9333,57.5333,Orient Apartments
97,Mayo,US,83.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
101,Veshenskaya,RU,78.8,scattered clouds,49.6303,41.7334,Kazachiy Kuren Inn
105,Banihal,IN,81.16,scattered clouds,33.4167,75.2,JKTDC
109,Kavieng,PG,82.74,light rain,-2.5744,150.7967,Nusa Island Retreat
111,Port Blair,IN,84.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Messina,IT,79.74,broken clouds,38.1933,15.5497,Hotel Touring
115,Linoan,PH,86.99,overcast clouds,7.626,125.9741,Cozy Quartelle
116,Hasaki,JP,88.09,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
118,Road Town,VG,81.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
124,Ulaanbaatar,MN,75.33,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
125,Marsh Harbour,BS,81.39,clear sky,26.5412,-77.0636,Abaco Beach Resort
126,Abnub,EG,82.62,clear sky,27.2696,31.1511,Romany Adly Gad
