City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,53.37,61,10,5.99,clear sky
1,Albany,US,42.6001,-73.9662,70.66,85,100,2.44,overcast clouds
2,Busselton,AU,-33.65,115.3333,61.05,61,31,6.31,scattered clouds
3,Haverfordwest,GB,51.8017,-4.9691,66.16,92,0,4.27,clear sky
4,Thinadhoo,MV,0.5333,72.9333,83.37,72,10,8.95,clear sky
5,Benguela,AO,-12.5763,13.4055,69.24,80,8,5.84,clear sky
6,Rikitea,PF,-23.1203,-134.9692,72.59,70,1,7.25,clear sky
7,Tasiilaq,GL,65.6145,-37.6368,37.13,75,1,7.96,clear sky
8,Verkhnyaya Maksakovka,RU,61.635,50.9674,71.62,68,0,4.47,clear sky
9,Ushuaia,AR,-54.8,-68.3,29.86,86,0,8.05,clear sky
10,Batagay-Alyta,RU,67.8006,130.4114,59.81,47,94,21.16,overcast clouds
11,Bethel,US,41.3712,-73.414,76.05,90,93,3.76,overcast clouds
12,Coihaique,CL,-45.5752,-72.0662,33.75,86,0,4.61,clear sky
13,Dikson,RU,73.5069,80.5464,33.66,90,94,11.39,overcast clouds
14,Bahua,IN,25.85,80.6333,103.12,31,90,11.12,overcast clouds
15,Saint-Philippe,RE,-21.3585,55.7679,72.95,86,75,19.42,moderate rain
16,Mataura,NZ,-46.1927,168.8643,48.47,99,68,0.76,moderate rain
17,Vaini,TO,-21.2,-175.2,75.36,94,40,8.05,scattered clouds
18,Bengkulu,ID,-3.8004,102.2655,84.4,65,17,6.89,few clouds
19,Reconquista,AR,-29.15,-59.65,49.17,85,0,3.33,clear sky
20,Lagoa,PT,39.05,-27.9833,65.48,66,16,11.03,few clouds
21,Provideniya,RU,64.3833,-173.3,45.57,98,100,11.97,light rain
22,De-Kastri,RU,51.4667,140.7833,84.49,46,52,6.31,broken clouds
23,Aswan,EG,24.0934,32.907,94.3,17,0,10.36,clear sky
24,Jamestown,US,42.097,-79.2353,69.03,97,90,1.99,moderate rain
25,Sitangkai,PH,4.6628,119.3928,82.69,76,97,12.55,overcast clouds
26,Castro,BR,-24.7911,-50.0119,54.05,98,100,5.17,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,48.49,46,0,4.61,clear sky
28,Arraial Do Cabo,BR,-22.9661,-42.0278,70.93,84,100,4.61,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,6.91,few clouds
30,Kupang,ID,-10.1667,123.5833,90.18,48,20,8.05,few clouds
31,Hobart,AU,-42.8794,147.3294,56.91,74,75,1.99,broken clouds
32,Nizhneudinsk,RU,54.9076,99.0276,79.39,52,86,5.93,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,47.32,81,75,4.61,broken clouds
34,Aklavik,CA,68.2191,-135.0107,63.43,46,97,1.14,overcast clouds
35,Rancho Palos Verdes,US,33.7445,-118.387,76.1,86,1,1.99,clear sky
36,Bredasdorp,ZA,-34.5322,20.0403,43.92,87,3,4.61,clear sky
37,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,71,75,3.44,broken clouds
38,Bambous Virieux,MU,-20.3428,57.7575,75.22,78,75,14.97,light rain
39,Nanortalik,GL,60.1432,-45.2371,47.86,76,100,0.51,overcast clouds
40,Front Royal,US,38.9182,-78.1944,78.19,92,1,0.0,clear sky
41,Upernavik,GL,72.7868,-56.1549,38.32,91,100,6.49,overcast clouds
42,Atar,MR,20.5169,-13.0499,79.0,55,48,5.01,scattered clouds
43,Dawlatabad,AF,36.4141,64.9053,92.46,16,22,6.76,few clouds
44,Kloulklubed,PW,7.0419,134.2556,82.09,78,99,8.28,overcast clouds
45,Chokurdakh,RU,70.6333,147.9167,55.53,80,94,11.99,light rain
46,Akyab,MM,20.15,92.9,84.74,73,88,6.46,overcast clouds
47,Biloela,AU,-24.4167,150.5,69.4,25,15,11.36,few clouds
48,Qaanaaq,GL,77.484,-69.3632,34.29,98,96,3.87,light rain
